accuracy,precision,recall,f1-score,auc,mcc,hospital,method,n_calib,n_test,pca_var,n_features
0.6905311778290993,0.5234042553191489,0.8482758620689655,0.6473684210526316,0.8470785440613027,0.4352035151289881,LUMICE,sitewise,30,433,0.95,244
0.6966126656848306,0.6285226302305722,0.8008705114254625,0.7043062200956938,0.7967155323609509,0.4144856737040735,LUX_A,sitewise,30,2037,0.95,244
0.7296222664015904,0.7898550724637681,0.7364864864864865,0.7622377622377622,0.8237694215955085,0.4512400125816996,MKW,sitewise,30,503,0.95,243
0.7386363636363636,0.8604651162790697,0.7668393782383419,0.810958904109589,0.8069765744727431,0.39903943890222426,MOR,sitewise,30,264,0.95,244
0.7795992714025501,0.6850094876660342,0.8260869565217391,0.7489626556016598,0.870690341587706,0.5633131781385915,OST,sitewise,30,1098,0.95,243
0.7684848484848484,0.6754966887417219,0.7882534775888718,0.7275320970042796,0.840962429558311,0.5330961660068569,OTW,sitewise,30,1650,0.95,244
0.30775510204081635,0.9455587392550143,0.28472821397756687,0.4376657824933687,0.47675634690302504,-0.0015759360500300368,PIO,sitewise,30,1225,0.95,242
0.6824494949494949,0.6039325842696629,0.8896551724137931,0.7194645844952593,0.8046662117137008,0.4222683417995108,PRZ,sitewise,30,1584,0.95,241
0.7430939226519337,0.821256038647343,0.7522123893805309,0.7852193995381063,0.8307847475273296,0.4699512514492204,PUS,sitewise,30,362,0.95,244
0.7642857142857142,0.7974683544303798,0.7875,0.7924528301886793,0.8297916666666667,0.5198055675363424,SL2,sitewise,30,140,0.95,244
0.7208464655560558,0.8922443376801648,0.737379466817924,0.8074534161490683,0.7673848912755402,0.3360645392744443,SLU,sitewise,30,2221,0.95,240
0.7175257731958763,0.5875,0.7877094972067039,0.6730310262529833,0.8167378683316903,0.4480072785556314,SRK,sitewise,30,485,0.95,244
0.7082693573152007,0.8926846100759144,0.7174154187465336,0.7955104551045511,0.7676915994620135,0.33043662488357095,STG1,sitewise,30,4559,0.95,244
0.7126865671641791,0.615426997245179,0.7866197183098591,0.6905718701700154,0.8080701586781671,0.44110121940141844,SZC,sitewise,30,10452,0.95,219
0.6737373737373737,0.5326797385620915,0.4752186588921283,0.50231124807396,0.6529125229248246,0.2617480969333193,TER_L,sitewise,30,990,0.95,246
0.6741935483870968,0.40325865580448067,0.9519230769230769,0.5665236051502146,0.8842025356914552,0.4558312869312152,TOR,sitewise,30,930,0.95,244
0.6209256844850065,0.8779527559055118,0.5779697624190064,0.6970565251367543,0.7216679717415436,0.28485870045559203,WLU,sitewise,30,3068,0.95,239
0.6782720825274017,0.7986159169550173,0.6200967221923697,0.6981246218995766,0.7549466313285856,0.3787131563215525,Z04O,sitewise,30,3102,0.95,238
0.8079930495221547,0.8513708513708513,0.8333333333333334,0.8422555317630264,0.8931559347540524,0.5972677636350928,ZOZLO,sitewise,30,1151,0.95,243
0.7867298578199052,0.9135416666666667,0.8242481203007519,0.866600790513834,0.8197489391796322,0.35357007309180394,AKS,sitewise,30,1266,0.9,131
0.7388181521384264,0.5018382352941176,0.6791044776119403,0.5771670190274841,0.7790793707425687,0.4037625682192939,ARCHDAM,sitewise,30,3063,0.9,159
0.6658243840808591,0.3974615898463594,0.7922769640479361,0.5293594306049823,0.7918854915323392,0.35679875082774754,B2K,sitewise,30,3166,0.9,131
