hospital,auc,mcc,fit_secs,condition,group,seed,n_features,model,task
H5,0.647080798138869,0.2064089976478737,5.13,sub_coh,coh,42,190,logreg,patho
H6,0.6888498308252965,0.2674815605477871,5.17,sub_coh,coh,42,190,logreg,patho
H7,0.7856164659443348,0.4365688692738837,5.31,sub_coh,coh,42,190,logreg,patho
H8,0.6627828332513528,0.09176855663755057,5.3,sub_coh,coh,42,190,logreg,patho
H9,0.7034257593989504,0.22566595797300687,4.46,sub_coh,coh,42,190,logreg,patho
H10,0.7278036187583936,0.3375545500855492,5.56,sub_coh,coh,42,190,logreg,patho
H11,0.7308678078463601,0.3222197803908142,6.4,sub_coh,coh,42,190,logreg,patho
H12,0.7389677550958733,0.3207016683724393,5.25,sub_coh,coh,42,190,logreg,patho
H13,0.7285321793388013,0.33302610087619705,4.01,sub_coh,coh,42,190,logreg,patho
H14,0.7655686279711376,0.3628135670651202,4.32,sub_coh,coh,42,190,logreg,patho
H15,0.6178177276033268,0.14067978512648427,6.08,sub_coh,coh,42,190,logreg,patho
H16,0.7748279920333154,0.37412387050573026,6.13,sub_coh,coh,42,190,logreg,patho
H17,0.7779648196487897,0.3811858772292195,4.59,sub_coh,coh,42,190,logreg,patho
H18,0.7249034443459541,0.3988843185410034,5.47,sub_coh,coh,42,190,logreg,patho
H19,0.7897475930262815,0.3444771078254393,5.08,sub_coh,coh,42,190,logreg,patho
H20,0.6694301173939183,0.2164345787165508,5.94,sub_coh,coh,42,190,logreg,patho
H21,0.6423902277979532,0.176901545315916,4.95,sub_coh,coh,42,190,logreg,patho
H22,0.7769838856795379,0.3727175189100717,5.49,sub_coh,coh,42,190,logreg,patho
H23,0.7261298715990724,0.34437873681595343,5.18,sub_coh,coh,42,190,logreg,patho
H24,0.7508744588744588,0.3386292991032459,5.42,sub_coh,coh,42,190,logreg,patho
H25,0.7491024020227559,0.3264575263371001,4.6,sub_coh,coh,42,190,logreg,patho
H26,0.807174411689746,0.40585343550853414,4.73,sub_coh,coh,42,190,logreg,patho
H27,0.7815440457908698,0.4035235725180031,5.97,sub_coh,coh,42,190,logreg,patho
H28,0.673469387755102,0.2442051490651933,5.96,sub_coh,coh,42,190,logreg,patho
H29,0.782126168224299,0.4240131855253892,7.0,sub_coh,coh,42,190,logreg,patho
H30,0.723030303030303,0.34617469308482485,5.21,sub_coh,coh,42,190,logreg,patho
H1,0.7299063858840239,0.32077058107471634,6.87,sub_coh,coh,43,190,logreg,patho
H2,0.7039528708054594,0.3113146029050515,5.45,sub_coh,coh,43,190,logreg,patho
H3,0.6705365661747393,0.19803509183892717,7.74,sub_coh,coh,43,190,logreg,patho
H4,0.7282279041638845,0.3145338480388776,7.19,sub_coh,coh,43,190,logreg,patho
H5,0.6513470830350752,0.20753025270654535,7.53,sub_coh,coh,43,190,logreg,patho
H6,0.6939324399694383,0.2583052022618295,5.46,sub_coh,coh,43,190,logreg,patho
H7,0.7988840672188386,0.4471534548225965,7.33,sub_coh,coh,43,190,logreg,patho
H8,0.6714666338744056,0.10929148624476129,4.84,sub_coh,coh,43,190,logreg,patho
H9,0.6986330171956474,0.22759457916196213,7.65,sub_coh,coh,43,190,logreg,patho
H10,0.7209863341012525,0.31287806103255855,8.97,sub_coh,coh,43,190,logreg,patho
H11,0.7335055216650835,0.3366025433656681,7.05,sub_coh,coh,43,190,logreg,patho
H12,0.7306666565932821,0.30241265565611003,10.11,sub_coh,coh,43,190,logreg,patho
H13,0.7341699793689931,0.3424378321543946,5.34,sub_coh,coh,43,190,logreg,patho
H14,0.7583662722835314,0.3535733987079777,9.06,sub_coh,coh,43,190,logreg,patho
H15,0.6260712139898175,0.1824186516162204,7.25,sub_coh,coh,43,190,logreg,patho
H16,0.7503879878947777,0.35350042859075753,8.41,sub_coh,coh,43,190,logreg,patho
H17,0.7829741635026104,0.358293978839533,6.96,sub_coh,coh,43,190,logreg,patho
H18,0.7228021717107762,0.373187231341817,7.79,sub_coh,coh,43,190,logreg,patho
H19,0.7763008910549892,0.33339144074420707,8.45,sub_coh,coh,43,190,logreg,patho
H20,0.6799143541224989,0.17641944230744266,7.13,sub_coh,coh,43,190,logreg,patho
H21,0.671541762958072,0.2310187495358488,6.17,sub_coh,coh,43,190,logreg,patho
H22,0.7540285801155366,0.36226027452534365,6.3,sub_coh,coh,43,190,logreg,patho
H23,0.7243056733978166,0.28787302838149614,7.61,sub_coh,coh,43,190,logreg,patho
H24,0.7561385281385282,0.3583376022686396,7.63,sub_coh,coh,43,190,logreg,patho
H25,0.7708470290771176,0.33513338756016803,5.83,sub_coh,coh,43,190,logreg,patho
H26,0.8257794579899753,0.4267684594088231,6.67,sub_coh,coh,43,190,logreg,patho
H27,0.7878542510121457,0.46562416428926573,7.99,sub_coh,coh,43,190,logreg,patho
H28,0.6899974804736709,0.23860667198327443,6.16,sub_coh,coh,43,190,logreg,patho
H29,0.7537237149532711,0.44878770788999195,7.42,sub_coh,coh,43,190,logreg,patho
H30,0.7250000000000001,0.3266372899592439,8.48,sub_coh,coh,43,190,logreg,patho
H1,0.7353827642557388,0.33359428413766773,4.32,sub_coh,coh,44,190,logreg,patho
H2,0.700738424503703,0.2843259588762406,4.84,sub_coh,coh,44,190,logreg,patho
H3,0.6687367569978812,0.17283503417420057,4.22,sub_coh,coh,44,190,logreg,patho
H4,0.7296560709171066,0.29388214268559965,5.79,sub_coh,coh,44,190,logreg,patho
H5,0.6650187902648532,0.24549776558988967,4.46,sub_coh,coh,44,190,logreg,patho
H6,0.6916889829021242,0.2782557416099013,3.46,sub_coh,coh,44,190,logreg,patho
H7,0.8111770292529566,0.465477366269718,4.26,sub_coh,coh,44,190,logreg,patho
H8,0.6677426627315953,0.08854883568560269,5.22,sub_coh,coh,44,190,logreg,patho
H9,0.7081559641336835,0.2356127568862003,4.99,sub_coh,coh,44,190,logreg,patho
H10,0.7285273286645515,0.2911544136361006,3.98,sub_coh,coh,44,190,logreg,patho
H11,0.7337586202164755,0.34289841835130924,5.5,sub_coh,coh,44,190,logreg,patho
H12,0.7215609464952176,0.3086746415020115,3.54,sub_coh,coh,44,190,logreg,patho
H13,0.7329462084234892,0.3452409442305878,3.99,sub_coh,coh,44,190,logreg,patho
H14,0.7752380889219015,0.36640735503303923,5.33,sub_coh,coh,44,190,logreg,patho
H15,0.6313310986729068,0.14767607913912104,4.24,sub_coh,coh,44,190,logreg,patho
H16,0.7492110912806188,0.3364957891252145,3.68,sub_coh,coh,44,190,logreg,patho
H17,0.7938975735643095,0.4062580603000248,4.33,sub_coh,coh,44,190,logreg,patho
H18,0.722901101684184,0.3726887282555827,4.53,sub_coh,coh,44,190,logreg,patho
H19,0.7677841776202431,0.3261048346576927,4.14,sub_coh,coh,44,190,logreg,patho
H20,0.6936050374964402,0.17990238077046308,4.15,sub_coh,coh,44,190,logreg,patho
H21,0.6569384835479256,0.2504409344571864,4.33,sub_coh,coh,44,190,logreg,patho
H22,0.7520066889632107,0.31203156585291675,5.09,sub_coh,coh,44,190,logreg,patho
H23,0.7252389841054357,0.3182543887263845,4.66,sub_coh,coh,44,190,logreg,patho
H24,0.749939393939394,0.3305365909196603,4.57,sub_coh,coh,44,190,logreg,patho
H25,0.7648546144121364,0.33567398284752875,3.74,sub_coh,coh,44,190,logreg,patho
H26,0.8463384589244755,0.38699086327914534,3.5,sub_coh,coh,44,190,logreg,patho
H27,0.7897808180929777,0.3680047117041788,3.59,sub_coh,coh,44,190,logreg,patho
H28,0.707835726883346,0.31076923076923074,5.92,sub_coh,coh,44,190,logreg,patho
H29,0.7474445093457944,0.34423642192038506,4.26,sub_coh,coh,44,190,logreg,patho
H30,0.7286363636363636,0.28430343956378823,4.15,sub_coh,coh,44,190,logreg,patho
H1,0.7251978013062778,0.31002046568504343,7.3,sub_coh,coh,45,190,logreg,patho
H2,0.7108483796574385,0.3159576545064561,4.58,sub_coh,coh,45,190,logreg,patho
H3,0.686961761024993,0.22506158337259902,4.81,sub_coh,coh,45,190,logreg,patho
H4,0.7292204828676194,0.30678289368512307,6.09,sub_coh,coh,45,190,logreg,patho
H5,0.6611001252684323,0.21951170690600383,5.64,sub_coh,coh,45,190,logreg,patho
H6,0.6805194781997507,0.23720295737257496,4.26,sub_coh,coh,45,190,logreg,patho
H7,0.7990589616991688,0.45234208752730615,4.25,sub_coh,coh,45,190,logreg,patho
H8,0.6719400721429742,0.10207307015193577,4.64,sub_coh,coh,45,190,logreg,patho
H9,0.6920094366883607,0.24068316600704243,5.38,sub_coh,coh,45,190,logreg,patho
H10,0.709334917906442,0.2893250705417581,3.9,sub_coh,coh,45,190,logreg,patho
H11,0.7498441004404829,0.3652138762743088,4.66,sub_coh,coh,45,190,logreg,patho
H12,0.740121787219897,0.3169532700252799,4.65,sub_coh,coh,45,190,logreg,patho
H13,0.7307120213354804,0.30169246677834255,5.75,sub_coh,coh,45,190,logreg,patho
H14,0.7722437393887945,0.35698709687261576,4.27,sub_coh,coh,45,190,logreg,patho
H15,0.6201314444128218,0.14332221927287825,4.73,sub_coh,coh,45,190,logreg,patho
H16,0.7758335273272807,0.38898217803625706,4.58,sub_coh,coh,45,190,logreg,patho
H17,0.7647573564309444,0.36254968189878445,5.31,sub_coh,coh,45,190,logreg,patho
H18,0.7305503672280613,0.40509911330246756,4.08,sub_coh,coh,45,190,logreg,patho
H19,0.780457272260551,0.34552084348223105,5.01,sub_coh,coh,45,190,logreg,patho
H20,0.666571738969929,0.12655893346805505,3.67,sub_coh,coh,45,190,logreg,patho
H21,0.6959392538791681,0.2680813820451684,4.13,sub_coh,coh,45,190,logreg,patho
H22,0.758954089388872,0.35254752940611955,6.64,sub_coh,coh,45,190,logreg,patho
H23,0.7197663895016686,0.2800418611468317,4.43,sub_coh,coh,45,190,logreg,patho
H24,0.7655584415584415,0.3864075845031938,4.29,sub_coh,coh,45,190,logreg,patho
H25,0.7598482932996207,0.3253013066709463,4.79,sub_coh,coh,45,190,logreg,patho
H26,0.8304519582023616,0.3877170043940224,4.59,sub_coh,coh,45,190,logreg,patho
H27,0.773558564847131,0.41362917023003676,4.96,sub_coh,coh,45,190,logreg,patho
H28,0.6606701940035273,0.18757160442893553,5.21,sub_coh,coh,45,190,logreg,patho
H29,0.7821991822429906,0.47442373635805546,4.3,sub_coh,coh,45,190,logreg,patho
H30,0.7283333333333333,0.29546842014263947,3.97,sub_coh,coh,45,190,logreg,patho
H1,0.7193533724788196,0.30427581987578095,4.97,sub_coh,coh,46,190,logreg,patho
H2,0.7105785545689302,0.3243665336051545,4.63,sub_coh,coh,46,190,logreg,patho
H3,0.6812827590052415,0.204051527340609,3.56,sub_coh,coh,46,190,logreg,patho
H4,0.7219925314916108,0.32212183486863816,4.8,sub_coh,coh,46,190,logreg,patho
H5,0.6581241052254831,0.22498457740880043,4.64,sub_coh,coh,46,190,logreg,patho
H6,0.6864527612517812,0.2542544984954903,5.25,sub_coh,coh,46,190,logreg,patho
H7,0.7948758037196347,0.42446835719397674,5.54,sub_coh,coh,46,190,logreg,patho
H8,0.6517482374159699,0.08636802770178398,5.1,sub_coh,coh,46,190,logreg,patho
H9,0.6968366823225984,0.233088545398815,4.26,sub_coh,coh,46,190,logreg,patho
H10,0.7174043355758245,0.30268353202075304,4.65,sub_coh,coh,46,190,logreg,patho
H11,0.7462107640069465,0.35764826523430815,5.73,sub_coh,coh,46,190,logreg,patho
