hospital,auc,mcc,fit_secs,condition,group,seed,n_features,model,task
H17,0.7899968853820598,0.3954452894858252,19.79,sub_coh,coh,44,190,catboost,patho
H18,0.7399962010890211,0.40498367700679605,12.06,sub_coh,coh,44,190,catboost,patho
H19,0.7933483835123181,0.34968392901846757,18.42,sub_coh,coh,44,190,catboost,patho
H20,0.6694512124376377,0.1417587329553985,18.89,sub_coh,coh,44,190,catboost,patho
H21,0.6807747331352482,0.27771465092977354,14.17,sub_coh,coh,44,190,catboost,patho
H22,0.7891000304043783,0.3898813923290629,18.42,sub_coh,coh,44,190,catboost,patho
H23,0.7287176876520165,0.30174800547201924,18.34,sub_coh,coh,44,190,catboost,patho
H24,0.767082251082251,0.3386292991032459,18.87,sub_coh,coh,44,190,catboost,patho
H25,0.7720101137800253,0.34086065495263923,12.94,sub_coh,coh,44,190,catboost,patho
H26,0.836462492566477,0.41579341929861147,12.71,sub_coh,coh,44,190,catboost,patho
H27,0.7818511796733213,0.4044636841598665,9.23,sub_coh,coh,44,190,catboost,patho
H28,0.6895943562610228,0.25463082210394794,10.85,sub_coh,coh,44,190,catboost,patho
H29,0.7692757009345794,0.4247717850108422,10.06,sub_coh,coh,44,190,catboost,patho
H30,0.7325757575757577,0.3307727156380789,13.14,sub_coh,coh,44,190,catboost,patho
H1,0.7153630194213731,0.3058960038124398,37.64,sub_coh,coh,45,190,catboost,patho
H2,0.7200014568647889,0.32927368928556056,13.77,sub_coh,coh,45,190,catboost,patho
H3,0.7034132869905703,0.21249182838935793,8.8,sub_coh,coh,45,190,catboost,patho
H4,0.6998472350556766,0.25385278594039523,10.36,sub_coh,coh,45,190,catboost,patho
H5,0.6637083929849679,0.24809043766504604,8.93,sub_coh,coh,45,190,catboost,patho
H6,0.6650256028286137,0.2183489927787134,23.45,sub_coh,coh,45,190,catboost,patho
H7,0.7903232473983122,0.4395786249351055,14.82,sub_coh,coh,45,190,catboost,patho
H8,0.6520843580914905,0.09009565782919032,17.36,sub_coh,coh,45,190,catboost,patho
H9,0.6992594701135594,0.23323981326924145,18.54,sub_coh,coh,45,190,catboost,patho
H10,0.7083031352408086,0.3049045912741408,18.02,sub_coh,coh,45,190,catboost,patho
H11,0.7579280071843397,0.3702570997428273,24.05,sub_coh,coh,45,190,catboost,patho
H12,0.7661262295825085,0.3601302249699209,17.83,sub_coh,coh,45,190,catboost,patho
H13,0.7309958234790923,0.31229998911668677,19.62,sub_coh,coh,45,190,catboost,patho
H14,0.7833755570882851,0.34368624415518706,16.54,sub_coh,coh,45,190,catboost,patho
H15,0.6235097871802169,0.15316134883948698,16.95,sub_coh,coh,45,190,catboost,patho
H16,0.7853877292361813,0.4063298341849422,14.14,sub_coh,coh,45,190,catboost,patho
H17,0.7799003322259137,0.4135488215913606,22.71,sub_coh,coh,45,190,catboost,patho
H18,0.7556073508927441,0.4095207540753318,12.57,sub_coh,coh,45,190,catboost,patho
H19,0.7900921999282654,0.32932324087192383,14.72,sub_coh,coh,45,190,catboost,patho
H20,0.6738811716187281,0.16899187880105124,13.45,sub_coh,coh,45,190,catboost,patho
H21,0.6849125123803235,0.2824559370083226,10.96,sub_coh,coh,45,190,catboost,patho
H22,0.7908330799635147,0.3888206177638089,11.91,sub_coh,coh,45,190,catboost,patho
H23,0.7033203235477121,0.3024384276733,6.97,sub_coh,coh,45,190,catboost,patho
H24,0.7628051948051949,0.36020245729504147,8.75,sub_coh,coh,45,190,catboost,patho
H25,0.7778761061946903,0.3479411378110134,7.6,sub_coh,coh,45,190,catboost,patho
H26,0.8112522300569196,0.4091737588153389,6.67,sub_coh,coh,45,190,catboost,patho
H27,0.7851738098562054,0.41872956964054653,27.04,sub_coh,coh,45,190,catboost,patho
H28,0.6581002771478962,0.1640139774388806,23.73,sub_coh,coh,45,190,catboost,patho
