mcc,accuracy,precision,recall,f1-score,auc,model,hospital,method,n_calib,n_test,pca_var,n_features
0.5060312459246785,0.7876288659793814,0.7583333333333333,0.5515151515151515,0.6385964912280702,0.8462878787878789,catboost,H24,sitewise,30,485,all,2850
0.4698344980100741,0.7713625866050808,0.5472972972972973,0.7168141592920354,0.6206896551724138,0.8392146017699115,catboost,H25,sitewise,30,433,all,2850
0.5889366995983841,0.812206572769953,0.7954545454545454,0.6645569620253164,0.7241379310344828,0.8703712450406197,catboost,H26,sitewise,30,426,all,2850
0.5753304169434486,0.7955801104972375,0.7414965986394558,0.7517241379310344,0.7465753424657534,0.8712537740346417,catboost,H27,sitewise,30,362,all,2850
0.3061921982226714,0.678030303030303,0.625,0.4761904761904761,0.5405405405405406,0.7569332135369871,catboost,H28,sitewise,30,264,all,2850
0.5329206342573316,0.7658536585365854,0.7920792079207921,0.7476635514018691,0.7692307692307693,0.8272935342361243,catboost,H29,sitewise,30,205,all,2850
0.3333710781862082,0.8379754417490266,0.4003984063745019,0.4557823129251701,0.4262990455991516,0.7651574547463338,catboost,H3,sitewise,30,3339,all,2850
0.3987094307563208,0.7071428571428572,0.6666666666666666,0.6333333333333333,0.6495726495726496,0.7618750000000001,catboost,H30,sitewise,30,140,all,2850
0.4472937976525653,0.8016424510423247,0.5589005235602095,0.5947075208913649,0.5762483130904184,0.8175060762466546,catboost,H4,sitewise,30,3166,all,2850
0.3385078072593678,0.7124435847840103,0.6316455696202532,0.4536363636363636,0.5280423280423281,0.7226019435110344,catboost,H5,sitewise,30,3102,all,2850
0.3330281194092507,0.6091916558018253,0.857824427480916,0.461262185736275,0.5999332665999333,0.7411243180091439,catboost,H6,sitewise,30,3068,all,2850
0.4862681256656534,0.7861573620633366,0.5947643979057592,0.6794258373205742,0.6342825237297599,0.8216929892596946,catboost,H7,sitewise,30,3063,all,2850
0.170234169905118,0.5032991202346041,0.9848121502797762,0.4797507788161994,0.6451950772453522,0.749036214953271,catboost,H8,sitewise,30,2728,all,2850
0.2917028285179207,0.579918955425484,0.9126730564430244,0.5017564402810304,0.6475255005666792,0.7507635208239176,catboost,H9,sitewise,30,2221,all,2850
0.4627104061097972,0.764638346727899,0.6225050621926526,0.6507408527366193,0.6363098758131284,0.8141614908935242,catboost,H1,sitewise,30,10452,0.99,592
0.4388488339050067,0.7545409916543937,0.6694772344013491,0.5663338088445078,0.6136012364760433,0.8016061315315162,catboost,H10,sitewise,30,2037,0.99,632
0.5107685179310337,0.776969696969697,0.7525354969574036,0.6012965964343598,0.6684684684684684,0.8466489163911817,catboost,H11,sitewise,30,1650,0.99,633
0.4521995746466652,0.7727272727272727,0.6038135593220338,0.6222707423580786,0.6129032258064516,0.8112594724146223,catboost,H12,sitewise,30,1584,0.99,629
0.421221022700035,0.7858056265984654,0.639751552795031,0.4847058823529411,0.5515394912985274,0.8093456592470175,catboost,H13,sitewise,30,1564,0.99,633
0.364592924835661,0.660347551342812,0.9283536585365854,0.6139112903225806,0.7390776699029126,0.7951899870496821,catboost,H14,sitewise,30,1266,0.99,630
0.255188972939332,0.6514285714285715,0.6302250803858521,0.3858267716535433,0.4786324786324786,0.6613212312896034,catboost,H15,sitewise,30,1225,0.99,630
0.5562074758000392,0.7758470894874022,0.6268939393939394,0.8443877551020408,0.7195652173913043,0.8732455432765992,catboost,H16,sitewise,30,1151,0.99,632
0.5525736176440477,0.8105646630236795,0.7111801242236024,0.6656976744186046,0.6876876876876877,0.8549133304546296,catboost,H17,sitewise,30,1098,0.99,631
0.4175506722186946,0.7141414141414142,0.7925311203319502,0.4504716981132075,0.5744360902255639,0.7684137275818388,catboost,H18,sitewise,30,990,0.99,637
