accuracy,precision,recall,f1-score,auc,mcc,hospital,model,method,n_calib,n_test
0.7545409916543937,0.7161290322580646,0.4750356633380884,0.5711835334476844,0.8022788232379748,0.4258598392391581,H10,catboost,sitewise,30,2037
0.7935483870967742,0.4842105263157895,0.7540983606557377,0.5897435897435898,0.8432930263860543,0.4805973134842157,H19,catboost,sitewise,30,930
0.7830303030303031,0.7692307692307693,0.5996758508914101,0.6739526411657559,0.8449811017617959,0.524051324282705,H11,catboost,sitewise,30,1650
0.7958762886597938,0.7538461538461538,0.593939393939394,0.6644067796610169,0.8442234848484849,0.528329393337473,H24,catboost,sitewise,30,485
0.7621247113163973,0.5277777777777778,0.8407079646017699,0.6484641638225256,0.8653484513274335,0.5124461099143977,H25,catboost,combat,30,433
0.7850172215843858,0.6666666666666666,0.641064408829755,0.6536149221519963,0.829753753039495,0.4980444900021115,H1,catboost,combat,30,10452
0.7762430939226519,0.6951219512195121,0.7862068965517242,0.7378640776699029,0.8846655013507071,0.547106352463558,H27,catboost,combat,30,362
0.6903633491311216,0.9155124653739612,0.6663306451612904,0.7712952158693116,0.8039535260183659,0.3691096026751611,H14,catboost,combat,30,1266
0.8,0.8235294117647058,0.7850467289719626,0.8038277511961722,0.8412168605760061,0.6008005775577443,H29,catboost,combat,30,205
0.8104864181933038,0.5750636132315522,0.6295264623955432,0.601063829787234,0.8414645802610737,0.4779617016537161,H4,catboost,combat,30,3166
0.7887691805419523,0.595166163141994,0.7069377990430622,0.6462547840349918,0.8342981847401293,0.5010034289325574,H7,catboost,combat,30,3063
0.8268942797244684,0.3856427378964941,0.5238095238095238,0.4442307692307692,0.7959324516556106,0.3501702545826423,H3,catboost,combat,30,3339
0.7392676767676768,0.5347758887171561,0.7554585152838428,0.6262443438914027,0.8338051765727893,0.4502201283706303,H12,catboost,combat,30,1584
0.6019810895992797,0.9178498985801216,0.5298594847775175,0.6718634001484781,0.7633724566425171,0.3155240458383505,H9,catboost,combat,30,2221
0.6931818181818182,0.6276595744680851,0.5619047619047619,0.592964824120603,0.7801138065289008,0.3493414899055528,H28,catboost,combat,30,264
0.8087431693989071,0.6840659340659341,0.7238372093023255,0.7033898305084746,0.8644747393744988,0.5629159562689848,H17,catboost,combat,30,1098
0.7591125198098256,0.6201117318435754,0.5692307692307692,0.5935828877005348,0.7980357562926369,0.4236390985301959,H21,catboost,combat,30,631
