accuracy,precision,recall,f1-score,auc,mcc,hospital,method,n_calib,n_test
0.7358490566037735,0.47421875,0.7438725490196079,0.5791984732824428,0.825662240718721,0.42170056843567943,KATMOJPRZ,neurocombat,30,3339
0.7609756097560976,0.7878787878787878,0.832,0.8093385214007782,0.8503999999999999,0.4910193901578638,KIEG,neurocombat,30,205
0.6943734015345269,0.7909604519774012,0.6292134831460674,0.7008760951188986,0.7763644850465109,0.40753230781632066,KLU,neurocombat,30,1564
0.7274167987321711,0.7423076923076923,0.6476510067114094,0.6917562724014337,0.8192353427252755,0.4528238137718419,KUD,neurocombat,30,631
0.6558891454965358,0.49242424242424243,0.896551724137931,0.6356968215158925,0.852705938697318,0.41724212835977537,LUMICE,neurocombat,30,433
0.7668139420716741,0.7376873661670236,0.749727965179543,0.7436589314624933,0.8368083064542816,0.5298754210280512,LUX_A,neurocombat,30,2037
0.7594433399602386,0.8404669260700389,0.7297297297297297,0.7811934900542495,0.846063454759107,0.5233986677329397,MKW,neurocombat,30,503
0.7310606060606061,0.8765432098765432,0.7357512953367875,0.8,0.8125957819455594,0.41348959429780113,MOR,neurocombat,30,264
0.761384335154827,0.6570915619389587,0.8375286041189931,0.7364185110663984,0.8853273419027409,0.5370926788229551,OST,neurocombat,30,1098
0.7884848484848485,0.7237237237237237,0.7449768160741885,0.7341964965727342,0.8651711018413076,0.5587772474964245,OTW,neurocombat,30,1650
0.3314285714285714,0.9619565217391305,0.30543572044866263,0.4636542239685658,0.5091379716056161,0.045956668433717575,PIO,neurocombat,30,1225
0.7297979797979798,0.651685393258427,0.88,0.7488262910798122,0.8435743245955601,0.4952993492287818,PRZ,neurocombat,30,1584
0.7569060773480663,0.8254716981132075,0.7743362831858407,0.7990867579908676,0.8600338365434669,0.4938030895644484,PUS,neurocombat,30,362
0.7428571428571429,0.782051282051282,0.7625,0.7721518987341772,0.824375,0.477379836328938,SL2,neurocombat,30,140
0.7276001800990545,0.8949522510231923,0.7441860465116279,0.8126354908640446,0.7807912277355739,0.3484306314632688,SLU,neurocombat,30,2221
0.7958762886597938,0.7040816326530612,0.770949720670391,0.736,0.8426808339723226,0.571729636301491,SRK,neurocombat,30,485
0.720552752796666,0.91027445460943,0.7174154187465336,0.8024193548387096,0.7958800157601386,0.3775022665699906,STG1,neurocombat,30,4559
0.7389016456180635,0.6469571894797466,0.7910798122065728,0.7117963882141726,0.833158945057078,0.485572051836211,SZC,neurocombat,30,10452
0.6242424242424243,0.4703476482617587,0.6705539358600583,0.5528846153846154,0.6839460889235358,0.2572072944058354,TER_L,neurocombat,30,990
0.6870967741935484,0.41226215644820297,0.9375,0.5726872246696035,0.9071755806520349,0.4604804699627749,TOR,neurocombat,30,930
0.6300521512385919,0.8986486486486487,0.5745140388768899,0.7009222661396575,0.7528532378764281,0.3232272748646678,WLU,neurocombat,30,3068
0.6647324306898775,0.8345558272208639,0.5502418054809243,0.6632124352331606,0.7750241285888164,0.3874092183728443,Z04O,neurocombat,30,3102
0.8340573414422241,0.8507462686567164,0.885593220338983,0.8678200692041522,0.9131595056816009,0.6461288115262703,ZOZLO,neurocombat,30,1151
0.8001579778830964,0.9042871385842473,0.8524436090225563,0.8776003870343493,0.815035732896598,0.34047508232265045,AKS,covbat,30,1266
0.7574273587985635,0.5318704284221526,0.6330845771144279,0.5780806360022714,0.7810884708815374,0.4127216942718001,ARCHDAM,covbat,30,3063
0.7482627921667719,0.48083333333333333,0.7683089214380826,0.5914915427985649,0.8298919590993926,0.44745975899695595,B2K,covbat,30,3166
0.6099397590361446,0.958005249343832,0.600328947368421,0.7381193124368048,0.7182213345864662,0.17679462419732112,CHE,covbat,30,664
0.8028169014084507,0.6748466257668712,0.7801418439716312,0.7236842105263158,0.871618763220107,0.5752757888773261,CMD,covbat,30,426
0.6092375366568915,0.9589131875414182,0.5903712770297838,0.7308080808080808,0.7464999918989819,0.22268545349348398,GAK,covbat,30,2728
0.6300174520069808,0.4732394366197183,0.8704663212435233,0.6131386861313869,0.7922688846468503,0.36832776757978436,KAL,covbat,30,573
0.701707097933513,0.43784530386740333,0.7769607843137255,0.5600706713780919,0.8160744678370755,0.39395273062439523,KATMOJPRZ,covbat,30,3339
0.7317073170731707,0.7734375,0.792,0.782608695652174,0.8323,0.43262620381112604,KIEG,covbat,30,205
0.6764705882352942,0.8,0.5752808988764045,0.6692810457516339,0.7559380522121828,0.3881296239058248,KLU,covbat,30,1564
0.7147385103011094,0.6666666666666666,0.7919463087248322,0.7239263803680982,0.7953624765705303,0.44020813260323927,KUD,covbat,30,631
0.6812933025404158,0.5150214592274678,0.8275862068965517,0.6349206349206349,0.8477729885057471,0.41200379482554766,LUMICE,covbat,30,433
0.7398134511536574,0.6978636826042727,0.7464635473340587,0.7213459516298633,0.8240659813400658,0.47880163281374716,LUX_A,covbat,30,2037
0.7634194831013916,0.849802371541502,0.7263513513513513,0.7832422586520947,0.840563389476433,0.5342220102727759,MKW,covbat,30,503
0.7537878787878788,0.8333333333333334,0.8290155440414507,0.8311688311688312,0.8034007151718602,0.3766520204492494,MOR,covbat,30,264
0.7777777777777778,0.6797020484171322,0.8352402745995423,0.7494866529774127,0.8798298119830921,0.5630697878405062,OST,covbat,30,1098
0.7715151515151515,0.7142857142857143,0.6955177743431221,0.7047768206734534,0.8409300691434198,0.5185960589096571,OTW,covbat,30,1650
0.42857142857142855,0.949119373776908,0.4184641932700604,0.5808383233532934,0.5418856380892619,0.011229478612673266,PIO,covbat,30,1225
0.7032828282828283,0.6203966005665722,0.9062068965517242,0.7365470852017937,0.8384071293805949,0.46380027999774875,PRZ,covbat,30,1584
0.7320441988950276,0.8307692307692308,0.7168141592920354,0.7695961995249406,0.812434929724102,0.460658989056567,PUS,covbat,30,362
0.7428571428571429,0.7619047619047619,0.8,0.7804878048780488,0.8245833333333333,0.4714045207910317,SL2,covbat,30,140
0.715443493921657,0.8924358084663429,0.7294384571752695,0.8027465667915106,0.7626391100917205,0.3314118506648529,SLU,covbat,30,2221
0.6989690721649484,0.5714285714285714,0.7374301675977654,0.6439024390243903,0.7929126958045789,0.3999084676328164,SRK,covbat,30,485
0.7124369379249835,0.9027729027729028,0.7132556849694953,0.7969016266460108,0.7819461443239931,0.3549269605841937,STG1,covbat,30,4559
0.7178530424799081,0.6227298258753042,0.7807511737089202,0.6928444953650661,0.8117849322463637,0.4475932487977275,SZC,covbat,30,10452
0.5858585858585859,0.4376163873370577,0.685131195335277,0.5340909090909091,0.6852077991717773,0.20856383485078997,TER_L,covbat,30,990
0.6419354838709678,0.379110251450677,0.9423076923076923,0.5406896551724137,0.8910411783507352,0.41740319803923387,TOR,covbat,30,930
0.6398305084745762,0.8928571428571429,0.593952483801296,0.7133592736705577,0.744775541462659,0.32261466628197266,WLU,covbat,30,3068
0.6773049645390071,0.8045325779036827,0.6104245029554003,0.6941643751909563,0.7697238494376057,0.38172981768821335,Z04O,covbat,30,3102
0.8305821025195482,0.8638297872340426,0.8601694915254238,0.861995753715499,0.902252235018046,0.6426604445845513,ZOZLO,covbat,30,1151
