accuracy,precision,recall,f1-score,auc,mcc,hospital,model,method,n_calib,n_test,tag
0.7101799034664327,0.7860593512767425,0.5297674418604651,0.6329535982217283,0.7842777949470757,0.4299121031577744,H25,catboost,raw,30,4558,newlabels
0.780690537084399,0.6051282051282051,0.5552941176470588,0.5791411042944785,0.8179393688994474,0.43194658065253894,H26,catboost,raw,30,1564,newlabels
0.3522727272727273,0.9914110429447853,0.3146417445482866,0.47768253029855157,0.7491092289719625,0.13906472512639478,H27,catboost,raw,30,2728,newlabels
0.7591623036649214,0.511520737327189,0.7762237762237763,0.6166666666666667,0.8411774272239387,0.47259303163353833,H28,catboost,raw,30,573,newlabels
0.7393939393939394,0.7014563106796117,0.6816037735849056,0.6913875598086124,0.8056953796919795,0.46608730984859975,H29,catboost,raw,30,990,newlabels
0.7584708948740226,0.6063432835820896,0.8290816326530612,0.7004310344827587,0.852141647172703,0.5235546024506313,H3,catboost,raw,30,1151,newlabels
0.6506122448979592,0.5877192982456141,0.5275590551181102,0.5560165975103735,0.6836968339208644,0.2704418013543572,H30,catboost,raw,30,1225,newlabels
0.6654135338345865,0.5815602836879432,0.7321428571428571,0.6482213438735178,0.7342880333951761,0.3452729510152401,H4,catboost,raw,30,266,newlabels
0.7910798122065728,0.8484848484848485,0.5316455696202531,0.6536964980544747,0.8816597392782921,0.5440203900730196,H5,catboost,raw,30,426,newlabels
0.7569955817378498,0.6973180076628352,0.5192582025677603,0.5952575633687653,0.8135351977927169,0.4363744702806042,H6,catboost,raw,30,2037,newlabels
0.6186348862405201,0.3237704918032787,0.8777777777777778,0.47305389221556887,0.8428667563930013,0.3441896964691704,H7,catboost,raw,30,923,newlabels
0.7593939393939394,0.8900709219858156,0.406807131280389,0.5583982202447163,0.8497193897963633,0.4843207719105751,H8,catboost,raw,30,1650,newlabels
0.7954545454545454,0.75,0.6,0.6666666666666666,0.861688990215636,0.5284981975632331,H9,catboost,raw,30,484,newlabels
